country,callsign,velocity,vertical_rate,bar_altitude
Portugal,TAP1558 ,71.75,-3.58,144.78
Portugal,TAP1932 ,103.75,-9.75,2072.64
Portugal,TAP37CN ,212.34,10.73,4922.52
Portugal,TAP863Y ,235.75,0.33,11887.2
Austria,EJU65XC ,87.61,-4.88,647.7
Portugal,TAP029  ,216.06,6.18,7330.44
Portugal,TAP282  ,235.45,0.0,12192.0
Portugal,TAP035  ,229.89,3.9,8023.86
Portugal,TAP011  ,286.64,0.0,11277.6
Germany,DLH89T  ,141.25,18.86,2346.96
Germany,DLH29H  ,177.88,20.81,9540.24
Portugal,TAP009  ,231.23,4.88,9098.28
Portugal,TAP253R ,267.5,1.3,9913.62
Kingdom of the Netherlands,TRA94A  ,226.39,7.48,9906.0
Austria,EJU86DW ,168.1,14.63,3939.54
France,FHFID   ,66.95,-2.6,1082.04
France,TVF88EP ,219.48,-0.33,11590.02
France,TVF13QL ,111.12,-0.33,975.36
Greece,AEE4090 ,188.88,-3.58,6812.28
Germany,CFG3EA  ,273.65,0.33,11277.6
Germany,LHX02A  ,240.2,0.33,11582.4
United Kingdom,EXS74DF ,204.49,0.0,10363.2
Algeria,DAH1008 ,222.61,0.0,10972.8
Algeria,DAH2014 ,152.32,-3.25,3147.06
Algeria,DAH6118 ,199.01,-13.66,5814.06
France,TJT1518 ,136.02,-0.65,5791.2
France,TVF3372 ,198.71,0.0,11582.4
Sweden,SAS11M  ,219.05,3.9,9364.98
Germany,EWG4UJ  ,233.07,4.55,7086.6
Switzerland,SWR82L  ,68.2,-3.9,83.82
Germany,DLH55M  ,219.0,4.88,9951.72
Portugal,TAP835  ,248.47,0.0,10668.0
Portugal,TAP555  ,274.28,0.0,10668.0
Portugal,TAP1542 ,129.3,-6.18,2362.2
Austria,EJU63DC ,227.61,-0.65,11582.4
France,AFR1277 ,217.14,-0.33,10972.8
Portugal,TAP1017 ,163.43,-6.83,3710.94
Portugal,TAP437  ,265.76,0.0,11285.22
United Kingdom,BAW425  ,203.38,7.15,5996.94
Austria,EJU32PC ,209.05,0.0,11277.6
United Kingdom,EXS77HF ,198.0,0.0,10363.2
United Kingdom,TOM17T  ,194.27,0.0,10972.8
Kingdom of the Netherlands,KLM33K  ,257.7,-9.75,9387.84
Portugal,TAP38KJ ,198.11,8.78,6659.88
Portugal,TAP4TL  ,157.0,14.96,3703.32
Portugal,TAP403Z ,202.87,6.5,7962.9
Ireland,RYR327E ,235.45,-0.33,11887.2
Ireland,NOS1351 ,263.04,0.0,10668.0
Kingdom of the Netherlands,TRA11R  ,0.0,0.0,0.0
Kingdom of the Netherlands,TRA72U  ,245.85,-4.23,9639.3
Kingdom of the Netherlands,TRA17H  ,237.91,-13.33,9448.8
Kingdom of the Netherlands,TRA16M  ,204.7,13.98,4732.02
Ireland,RYR176L ,269.98,0.0,11887.2
Kingdom of the Netherlands,TRA70Y  ,200.0,-9.43,5074.92
Ireland,RYR1VM  ,197.36,0.0,10972.8
Turkey,THY5YE  ,277.76,0.33,10058.4
Ireland,RYR6025 ,233.02,0.0,11277.6
France,FWMIL   ,0.0,0.0,0.0
Germany,TUI2JA  ,222.11,0.0,10972.8
Ireland,NOS26VJ ,255.95,0.0,10972.8
Kingdom of the Netherlands,KLM595  ,263.12,-0.33,10058.4
Ireland,RYR82MG ,4.12,0.0,0.0
Portugal,NJE664V ,226.64,-10.08,8823.96
Tunisia,TAR283  ,224.81,10.4,7376.16
Ireland,RYR324L ,0.0,0.0,0.0
Ireland,RYR3368 ,183.24,0.0,10363.2
Ireland,RYR64VR ,235.2,0.33,9753.6
Ireland,EIN76K  ,226.45,0.0,11277.6
Ireland,RYR5ER  ,264.33,0.0,10972.8
Ireland,RYR60FF ,239.3,0.0,11277.6
France,AFR7408 ,125.31,-0.98,868.68
Kingdom of the Netherlands,TRA33Q  ,226.14,-10.08,7231.38
Ireland,RYR2045 ,239.48,0.0,11277.6
Ireland,RYR1LB  ,126.25,19.83,2369.82
Ireland,ITY063  ,238.51,0.0,10363.2
Kingdom of the Netherlands,TRA86Y  ,220.5,0.33,10972.8
Kingdom of the Netherlands,TRA1L   ,258.7,-0.33,10683.24
Spain,IBS15UK ,181.98,-4.88,3649.98
Ireland,RYR90UD ,84.22,-4.88,548.64
Ireland,RYR18RW ,124.63,-8.45,1432.56
United Kingdom,EZY52PX ,206.42,-10.4,6438.9
United Kingdom,EZY73ZC ,267.26,0.33,11285.22
Ireland,RYR1NC  ,181.07,-9.75,4671.06
United Kingdom,EZY27DY ,220.21,0.33,11269.98
Spain,VLG9NH  ,234.66,0.0,11277.6
United Kingdom,EZY84LC ,257.28,-0.33,11277.6
Chile,CCDFO   ,45.72,-3.58,99.06
United Kingdom,EZY17VN ,260.2,0.0,11285.22
United Kingdom,TOM20Y  ,207.13,0.0,10972.8
United Kingdom,EZY53TC ,169.29,16.58,5875.02
Spain,VLG1TR  ,196.69,5.53,7703.82
France,AFR93PP ,75.22,10.73,160.02
Spain,AEA9117 ,143.46,13.0,2042.16
Germany,ECA4US  ,168.24,-7.8,3284.22
Spain,IBS1621 ,214.21,-11.05,7543.8
Ireland,RYR12WL ,197.38,0.0,10972.8
France,TVF91RJ ,181.59,0.33,11574.78
United Kingdom,EZY63WU ,200.89,0.33,10980.42
United Kingdom,EZY64HM ,215.49,-0.33,10675.62
France,TVF63TB ,179.73,0.0,11582.4
France,TVF23FB ,119.5,-6.18,868.68
France,TVF9854 ,225.8,0.0,11887.2
France,TVF55TP ,237.68,0.33,11887.2
France,TVF3384 ,184.69,-2.6,11308.08
Spain,ANGEL05 ,36.1,-1.95,716.28
Switzerland,EZS18WC ,225.54,-16.91,7406.64
Spain,IBB37TC ,211.65,0.33,11582.4
Switzerland,EZS68AR ,219.83,-9.75,5859.78
Switzerland,EJU39UD ,80.27,-4.88,1005.84
Spain,IBE05KG ,157.72,-2.93,3688.08
United Kingdom,TOM76G  ,197.01,0.0,10972.8
France,AIB787S ,0.0,0.0,91.44
Spain,IBE04FE ,130.5,-5.2,1927.86
United Kingdom,EZY67MV ,0.0,0.0,0.0
United Kingdom,TOM62V  ,191.97,0.33,10972.8
United Kingdom,TOM217  ,267.79,0.0,10972.8
United States,N298AL  ,256.97,0.0,12192.0
Ireland,RYR24FV ,231.39,0.0,11887.2
United Kingdom,EFW65WL ,200.16,0.0,10370.82
United Kingdom,EFW75H  ,86.46,6.5,571.5
France,FHMTC   ,3.13,-0.33,0.0
Ireland,RYR63GN ,211.79,-13.98,7658.1
Spain,VOE1GU  ,226.43,-4.88,10210.8
Spain,VOE7TB  ,117.63,-2.28,1691.64
Spain,HTY292  ,73.57,0.0,434.34
Ireland,RYR82XG ,200.55,9.43,6537.96
Malta,ANE61JN ,77.08,-4.23,548.64
Ireland,RYR1139 ,0.0,0.0,0.0
Malta,RYR96MB ,217.73,-0.33,10972.8
Spain,ANE92WD ,213.02,0.33,9448.8
Ireland,RYR95AT ,208.41,0.33,11277.6
Ireland,RYR436T ,240.16,-9.43,10096.5
Spain,VLG1LH  ,75.93,-4.23,388.62
Ireland,RYR433F ,180.31,-7.8,5661.66
Ireland,RYR22KA ,261.22,0.0,11277.6
Germany,LHB1    ,10.8,0.0,0.0
United Kingdom,EZY15ZM ,242.5,-0.33,11277.6
United Kingdom,EZY891X ,259.6,0.33,11277.6
United Kingdom,EZY51CT ,130.91,-2.28,1958.34
Ireland,RYR6TJ  ,2.31,0.0,0.0
Ireland,RYR9LY  ,197.37,0.0,10972.8
Malta,RYR61FZ ,231.85,0.0,10980.42
Ireland,RYR65LM ,236.85,-0.33,11582.4
Ireland,RYR3DT  ,202.67,0.0,11582.4
Ireland,RYR7GM  ,237.68,0.0,11285.22
Ireland,RYR610T ,245.61,-0.33,11277.6
Ireland,RYR249  ,233.73,-0.33,10668.0
Malta,RYR17EE ,159.76,6.5,3878.58
Malta,RYR762M ,149.08,-7.15,2133.6
Ireland,RYR92XL ,180.58,-8.78,6248.4
Ireland,RYR116P ,201.36,1.63,10370.82
Ireland,RYR5XN  ,262.36,0.0,11582.4
Ireland,RYR78JU ,176.97,-4.88,2446.02
Ireland,RYR278P ,74.46,-3.9,99.06
Spain,VLG36SP ,259.77,0.33,11582.4
Spain,VOE886  ,104.32,0.33,1196.34
Malta,RYR38SG ,190.32,0.0,10363.2
Spain,IBB6075 ,205.74,-13.98,7269.48
Ireland,RYR46LE ,192.71,14.31,4602.48
Malta,RYR9034 ,222.44,0.0,10972.8
Malta,RYR51VB ,238.49,-14.96,10043.16
France,AFR36TL ,8.23,0.0,91.44
Spain,ECOMT   ,5.92,0.0,0.0
Spain,IBB62SZ ,151.94,-6.5,3863.34
Spain,IBB97FU ,134.28,-6.83,2743.2
Germany,EWG67XB ,207.01,7.8,7429.5
Germany,EWG79P  ,211.77,-10.4,5722.62
Spain,ANE28UR ,205.23,10.08,7208.52
Ireland,RYR706Y ,254.6,0.0,11277.6
France,AFR25FQ ,79.84,7.15,640.08
Ireland,RYR3RG  ,285.68,-0.33,10972.8
Ireland,RYR29KA ,4.12,0.0,0.0
United Kingdom,EXS9PC  ,205.66,0.0,10972.8
Ireland,RYR844N ,201.38,0.0,9448.8
Serbia,ASL72W  ,184.61,0.33,10370.82
Ireland,SAS588  ,218.49,0.0,10972.8
Ireland,RYR9VN  ,133.56,10.73,1927.86
Malta,RYR26PM ,137.52,-2.93,3421.38
Malta,RYR1SU  ,214.49,-15.93,7018.02
Kingdom of the Netherlands,TFL6FL  ,214.05,-0.33,11582.4
Malta,RYR9688 ,229.44,0.0,11582.4
Malta,RYR5NH  ,213.06,0.0,10972.8
Malta,RYR3MK  ,208.33,-11.38,9593.58
France,AFR59LH ,186.31,0.0,10363.2
Malta,RYR8QQ  ,262.22,0.0,11277.6
Malta,RYR4819 ,73.66,-1.3,-53.34
Malta,RYR898H ,277.37,0.0,11277.6
Malta,RYR95CC ,219.72,-0.33,10972.8
Malta,RYR1EJ  ,180.13,0.0,10972.8
Malta,RYR1MW  ,9.77,0.0,0.0
Malta,RYR7YW  ,278.17,0.0,11277.6
Malta,RYR595Z ,234.63,0.0,11277.6
Malta,RYR8205 ,267.9,0.0,11277.6
Malta,RYR5834 ,233.08,0.0,10972.8
United Kingdom,EZY74WZ ,201.3,-0.33,10972.8
Malta,RYR96RA ,172.19,-9.75,3794.76
Malta,RYR132G ,221.51,0.0,10972.8
Malta,RYR8DP  ,199.79,2.93,11209.02
Germany,EWG6B   ,275.71,0.0,10965.18
Malta,RYR43FD ,235.84,0.0,11277.6
