country,callsign,velocity,vertical_rate,bar_altitude
Portugal,NJE150M ,86.05,0.0,1211.58
United Kingdom,EXS84DF ,172.5,17.23,4221.48
Portugal,NJE681F ,217.17,-3.9,12435.84
United States,N766DL  ,136.65,0.0,7620.0
Saudi Arabia,SVA237  ,212.83,0.33,10972.8
United Kingdom,EZY2830 ,217.11,-0.33,11590.02
Germany,DLH1323 ,239.0,0.33,9753.6
Kingdom of the Netherlands,KLM873  ,265.16,-0.33,10668.0
Germany,DLH8EM  ,220.13,4.55,10561.32
Switzerland,HBPRD   ,65.55,0.98,1706.88
Switzerland,SWR56Z  ,83.9,-4.55,541.02
United Kingdom,AHY046  ,246.92,0.0,10363.2
Switzerland,SWR1ZM  ,113.67,-5.2,2560.32
Switzerland,SWR11P  ,191.53,-7.48,5646.42
France,AFR12HA ,258.0,0.0,11262.36
United Kingdom,EXS3KH  ,206.93,0.0,10363.2
France,AFR73VA ,230.85,4.23,10858.5
China,CHH728  ,265.04,-0.33,11277.6
Ireland,NOS772  ,0.0,0.0,0.0
Kingdom of the Netherlands,TRA21H  ,237.88,-10.73,8511.54
Monaco,3AMPJ   ,40.36,6.83,396.24
Ireland,ITY1677 ,137.92,-8.78,2545.08
Ireland,RYR4RX  ,118.42,-5.85,1897.38
Serbia,MPC003  ,98.55,-0.33,861.06
Croatia,CTN6D   ,179.18,24.06,4983.48
Austria,OEKDM   ,74.24,-0.33,5501.64
Ireland,ITY107  ,189.05,-14.31,5143.5
Ireland,RYR96EU ,80.91,-4.88,411.48
United States,UPS3    ,253.84,0.33,10972.8
Ireland,ITY1787 ,225.97,-12.03,10165.08
Ukraine,MGH712  ,258.6,-0.33,10668.0
Tunisia,TAR745  ,236.56,-0.33,11277.6
Ireland,RYR2HX  ,237.19,0.0,10965.18
Ireland,EJU19EG ,233.12,0.0,9144.0
Kuwait,KAC5123 ,237.11,0.0,9753.6
Ireland,ITY1739 ,218.71,7.48,8709.66
Ireland,RYR4GB  ,238.18,0.0,11277.6
Ireland,ITY1745 ,138.96,19.18,1973.58
Ireland,RYR42MY ,233.59,0.0,11582.4
Turkey,SXS6AL  ,230.9,2.93,10904.22
China,CCA950  ,197.25,7.8,5745.48
Kingdom of the Netherlands,KLM1654 ,228.94,0.0,11582.4
Ireland,RYR7198 ,90.29,-4.88,693.42
Croatia,JSY6N   ,149.15,15.28,5158.74
Ireland,ITY1619 ,244.79,6.18,9776.46
Kingdom of the Netherlands,P4BTR   ,228.15,0.0,12192.0
Ireland,RYR3DE  ,92.12,-2.28,1234.44
Ireland,RYR41NN ,255.5,-5.2,8473.44
Czech Republic,ECC752  ,236.58,-5.2,11559.54
Turkey,SXS82K  ,241.38,0.0,11277.6
Greece,AEZ2226 ,219.59,0.0,9753.6
Turkey,TCADO   ,205.41,1.63,10965.18
Italy,DLH8FA  ,169.97,4.88,4968.24
France,AFR41DU ,110.15,15.93,1005.84
France,AFR66CJ ,109.94,-5.2,1005.84
Singapore,SIA377  ,108.86,10.08,1752.6
Canada,ACA891  ,258.28,0.0,9144.0
United Arab Emirates,ETD13   ,228.68,0.33,10972.8
Italy,IOZZI   ,66.46,-1.63,480.06
United Arab Emirates,ETD11B  ,230.67,-0.33,10972.8
Italy,ICCAB   ,34.56,4.88,457.2
Ireland,RYR81YG ,236.69,0.0,11277.6
Ireland,RYR363E ,78.61,-4.23,403.86
Germany,AZE499  ,200.02,9.75,9738.36
Ireland,RYR284X ,149.16,-7.48,2575.56
Italy,DLA5KE  ,208.64,8.45,8084.82
Egypt,MSC816  ,248.13,0.33,11277.6
Egypt,MSC2930 ,232.45,-0.33,11590.02
United Kingdom,EZY34BN ,191.99,11.05,6088.38
Egypt,MSC806  ,263.27,0.0,10675.62
Egypt,MSR785  ,254.66,0.0,12192.0
Italy,DLH9EE  ,75.71,-3.9,289.56
Egypt,MSC820  ,272.36,0.0,10668.0
Switzerland,EZS19BN ,229.51,0.33,11597.64
Switzerland,EZS23QB ,229.2,0.0,10660.38
Switzerland,EZS1217 ,234.35,0.0,10066.02
Spain,VOE58UJ ,189.03,-8.45,6553.2
Spain,IBE06HB ,224.74,0.0,11277.6
United Kingdom,EXS85AQ ,218.34,0.0,10972.8
Egypt,MSR771  ,229.74,0.0,11582.4
Egypt,MSR733  ,238.7,0.0,10972.8
Egypt,MSR799  ,247.17,0.0,11582.4
Egypt,NIA6711 ,204.86,0.0,10363.2
Italy,IHBCR   ,63.52,-1.63,1783.08
Egypt,MSR703  ,91.71,-1.63,990.6
United Kingdom,BAW671  ,235.0,-0.33,11582.4
Ireland,RYR20UR ,241.21,-2.28,11163.3
Ireland,ITY1365 ,242.49,0.0,8534.4
Ireland,ITY1269 ,161.82,0.98,5181.6
Spain,IBE08BG ,229.04,0.0,11590.02
Ireland,ITY1655 ,238.22,-0.33,10058.4
Malta,VJT678  ,108.47,9.43,7368.54
United Kingdom,MAGMA   ,262.97,0.98,11879.58
Malta,RYR1TZ  ,238.96,-0.33,11277.6
Ireland,RYR38RJ ,237.71,0.0,10363.2
Ireland,ITY061  ,218.81,-10.08,7528.56
Spain,IBE06HE ,199.69,-5.53,8282.94
Ireland,ITY1781 ,205.0,9.43,8389.62
Ireland,RYR2ZA  ,219.08,0.0,10058.4
Ireland,SAS77G  ,0.0,0.0,0.0
Ireland,RYR4163 ,244.6,0.0,11277.6
Ireland,RYR41LT ,222.46,5.53,9441.18
Ireland,ITY1475 ,93.61,-1.95,1264.92
Ireland,RYR8YE  ,229.22,-0.33,11887.2
Ireland,ITY715  ,217.06,0.0,11582.4
United Kingdom,MASBA   ,239.63,5.2,11384.28
Ireland,RYR2YD  ,237.63,6.83,7658.1
Germany,DFKMK   ,142.53,0.0,8534.4
Italy,DLA3MJ  ,215.05,-7.48,8092.44
Malta,RYR76MJ ,232.01,0.0,11582.4
Malta,KMM101  ,233.63,0.0,10675.62
Malta,RYR26PZ ,236.29,0.0,10972.8
Ireland,RYR6527 ,215.33,7.8,9067.8
Malta,RYR53RK ,227.84,3.25,10706.1
Malta,RYR9066 ,242.9,0.0,11277.6
Ireland,RYR2V   ,220.94,-13.33,7360.92
Malta,RYR147M ,121.99,18.86,1546.86
Malta,RYR74SV ,219.13,0.0,10355.58
Malta,RYR37GL ,222.56,2.6,10759.44
Malta,RYR4QV  ,225.21,-4.88,10469.88
France,AFR43TB ,113.18,-2.93,922.02
United States,N960JB  ,175.39,-11.05,7018.02
Italy,IBEPP   ,45.0,1.95,2308.86
Malta,RYR10UK ,247.92,0.0,11277.6
Ireland,ITY2133 ,138.78,-8.13,2529.84
Ireland,ITY1395 ,213.96,6.83,8298.18
Ireland,ITY344  ,181.86,10.73,5585.46
Ireland,ITY1417 ,236.23,-0.33,9136.38
Malta,RYR74KW ,226.98,5.2,8846.82
Malta,RYR6NZ  ,135.71,6.5,2026.92
Malta,AEZ158C ,237.9,0.0,10668.0
Ireland,SAS1574 ,230.91,0.0,11582.4
Ireland,SAS1804 ,236.85,0.0,10378.44
Malta,RYR49RQ ,224.59,0.0,11582.4
Malta,KMM616  ,232.02,0.0,11574.78
Malta,WMT3CB  ,221.79,4.55,9616.44
Malta,WMT4763 ,243.68,-0.33,10668.0
Italy,DLA7KV  ,215.88,0.33,10363.2
Switzerland,HB2633  ,58.52,-0.33,2072.64
Malta,RYR423B ,226.68,0.33,11582.4
Malta,RYR8598 ,68.65,-3.25,495.3
France,AFR78SW ,71.3,-4.55,22.86
